Kommune;Indikator;Indikator_Original;Einheit;Jahr;Wert;Dateiname
Bochum, kreisfreie Stadt;Jugendarmut;Jugendarmut (%);%;2021;22.5;bochum_Jugendarmut.csv
Bochum, kreisfreie Stadt;Jugendarmut;Jugendarmut (%);%;2022;23.2;bochum_Jugendarmut.csv
Bochum, kreisfreie Stadt;Jugendarmut;Jugendarmut (%);%;2023;23.8;bochum_Jugendarmut.csv
Bochum, kreisfreie Stadt;Kinderarmut;Kinderarmut (%);%;2016;26.2;bochum_Kinderarmut.csv
Bochum, kreisfreie Stadt;Kinderarmut;Kinderarmut (%);%;2017;25.9;bochum_Kinderarmut.csv
Bochum, kreisfreie Stadt;Kinderarmut;Kinderarmut (%);%;2018;28.0;bochum_Kinderarmut.csv
Bochum, kreisfreie Stadt;Kinderarmut;Kinderarmut (%);%;2019;27.6;bochum_Kinderarmut.csv
Bochum, kreisfreie Stadt;Kinderarmut;Kinderarmut (%);%;2020;26.6;bochum_Kinderarmut.csv
Bochum, kreisfreie Stadt;Kinderarmut;Kinderarmut (%);%;2021;25.1;bochum_Kinderarmut.csv
Bochum, kreisfreie Stadt;Kinderarmut;Kinderarmut (%);%;2022;24.7;bochum_Kinderarmut.csv
Bochum, kreisfreie Stadt;Kinderarmut;Kinderarmut (%);%;2023;23.8;bochum_Kinderarmut.csv
Bochum, kreisfreie Stadt;Ladesäuleninfrastruktur;Ladesäuleninfrastruktur (Ladepunkte je 1.000 Einwohner:innen);Ladepunkte je 1.000 Einwohner:innen;2016;0.09;bochum_Ladesaeuleninfrastruktur.csv
Bochum, kreisfreie Stadt;Ladesäuleninfrastruktur;Ladesäuleninfrastruktur (Ladepunkte je 1.000 Einwohner:innen);Ladepunkte je 1.000 Einwohner:innen;2017;0.09;bochum_Ladesaeuleninfrastruktur.csv
Bochum, kreisfreie Stadt;Ladesäuleninfrastruktur;Ladesäuleninfrastruktur (Ladepunkte je 1.000 Einwohner:innen);Ladepunkte je 1.000 Einwohner:innen;2018;0.12;bochum_Ladesaeuleninfrastruktur.csv
Bochum, kreisfreie Stadt;Ladesäuleninfrastruktur;Ladesäuleninfrastruktur (Ladepunkte je 1.000 Einwohner:innen);Ladepunkte je 1.000 Einwohner:innen;2019;0.15;bochum_Ladesaeuleninfrastruktur.csv
Bochum, kreisfreie Stadt;Ladesäuleninfrastruktur;Ladesäuleninfrastruktur (Ladepunkte je 1.000 Einwohner:innen);Ladepunkte je 1.000 Einwohner:innen;2020;0.19;bochum_Ladesaeuleninfrastruktur.csv
Bochum, kreisfreie Stadt;Ladesäuleninfrastruktur;Ladesäuleninfrastruktur (Ladepunkte je 1.000 Einwohner:innen);Ladepunkte je 1.000 Einwohner:innen;2021;0.27;bochum_Ladesaeuleninfrastruktur.csv
Bochum, kreisfreie Stadt;Ladesäuleninfrastruktur;Ladesäuleninfrastruktur (Ladepunkte je 1.000 Einwohner:innen);Ladepunkte je 1.000 Einwohner:innen;2022;0.97;bochum_Ladesaeuleninfrastruktur.csv
Bochum, kreisfreie Stadt;Ladesäuleninfrastruktur;Ladesäuleninfrastruktur (Ladepunkte je 1.000 Einwohner:innen);Ladepunkte je 1.000 Einwohner:innen;2023;1.58;bochum_Ladesaeuleninfrastruktur.csv
Bochum, kreisfreie Stadt;Landschaftsqualität;Landschaftsqualität (Hemerobiewert);Hemerobiewert;2016;;bochum_Landschaftsqualitaet.csv
Bochum, kreisfreie Stadt;Landschaftsqualität;Landschaftsqualität (Hemerobiewert);Hemerobiewert;2017;;bochum_Landschaftsqualitaet.csv
Bochum, kreisfreie Stadt;Landschaftsqualität;Landschaftsqualität (Hemerobiewert);Hemerobiewert;2018;5.3;bochum_Landschaftsqualitaet.csv
Bochum, kreisfreie Stadt;Landschaftsqualität;Landschaftsqualität (Hemerobiewert);Hemerobiewert;2019;;bochum_Landschaftsqualitaet.csv
